seed,run_date,scenario,stage,from_month,to_month,need_p50,need_p80,need_p95,monthly_burn_p80,round_size
20260916,2026-09-16,plan_of_record,seed,0,18,5451502.094324,7630313.701500,10101412.253716,423906.316750,10173751.602000
20260916,2026-09-16,plan_of_record,series_a,18,36,6202411.687526,8894889.712316,11936874.222529,494180.341765,11859971.762908
20260916,2026-09-16,plan_of_record,series_b,36,60,8420093.401355,11924444.145549,15913651.017887,497163.258667,14907423.697554
20260916,2026-09-16,plan_of_record,whole_horizon,0,60,19804368.704567,28081280.848873,37544747.806442,468169.956039,28081280.848873
20260916,2026-09-16,base_case_uk_only,seed,0,18,4415899.703351,6270997.071390,8464628.164833,348482.715925,8361893.366938
20260916,2026-09-16,base_case_uk_only,series_a,18,36,2903871.157947,4055636.385169,5333487.408023,225592.500514,5409191.388252
20260916,2026-09-16,base_case_uk_only,series_b,36,60,5157953.766378,7300947.014684,9753856.123540,304630.795799,9128731.789478
20260916,2026-09-16,base_case_uk_only,whole_horizon,0,60,12312358.051754,17406100.597011,23196904.945249,290730.648053,17406100.597011
20260916,2026-09-16,gtm_minimum_uk_one_board,seed,0,18,1918944.902050,2432180.356390,2977969.660509,136057.371632,3248524.586183
20260916,2026-09-16,gtm_minimum_uk_one_board,series_a,18,36,1223814.387362,1694108.069163,2098991.426498,94612.818412,2261784.979632
20260916,2026-09-16,gtm_minimum_uk_one_board,series_b,36,60,1933418.750753,2712946.756723,3368978.057666,113458.163791,3393695.739468
20260916,2026-09-16,gtm_minimum_uk_one_board,whole_horizon,0,60,5051553.359322,6669638.583082,8077764.744149,111600.681512,6669638.583082
20260916,2026-09-16,one_subject_uk_one_board,seed,0,18,1165225.990016,1454518.984784,1733251.086094,81341.574909,1942568.434237
20260916,2026-09-16,one_subject_uk_one_board,series_a,18,36,1178375.101983,1631274.104895,2023373.008668,90917.428780,2176778.677574
20260916,2026-09-16,one_subject_uk_one_board,series_b,36,60,1935948.077386,2661593.185283,3292077.435127,111022.303215,3327727.004573
20260916,2026-09-16,one_subject_uk_one_board,whole_horizon,0,60,4211726.003858,5675960.340987,6951551.750374,94903.192176,5675960.340987
