seed,run_date,driver,pin_quantile,pin_value,terminal_cash_mean,terminal_cash_median,peak_funding_requirement_mean,share_reaching_profitability,final_year_effective_cac_mean,terminal_active_hh_mean
20260916,2026-09-16,items_per_unit,5,2009.814205,-1102351.431943,-14696607.719613,13915125.880448,0.230850,40.905409,28667.299443
20260916,2026-09-16,items_per_unit,25,2851.878947,-4113708.122893,-17280512.516479,16621899.434279,0.219800,40.905409,28667.299443
20260916,2026-09-16,items_per_unit,50,3902.370574,-7870432.320767,-20572975.528190,20042143.890505,0.207600,40.905409,28667.299443
20260916,2026-09-16,items_per_unit,75,4959.520991,-11650969.401265,-23849224.200182,23519913.429897,0.198450,40.905409,28667.299443
20260916,2026-09-16,items_per_unit,95,5791.963229,-14627914.497134,-26454945.581678,26279489.754014,0.191800,40.905409,28667.299443
20260916,2026-09-16,cac_anchor_usd,5,9.221902,37466890.872152,-11652331.714931,13937241.526169,0.531300,36.234011,94962.280837
20260916,2026-09-16,cac_anchor_usd,25,16.134034,1434430.170756,-16828302.079839,17309378.731868,0.357200,36.448548,47271.589424
20260916,2026-09-16,cac_anchor_usd,50,32.263315,-18086343.586725,-20311264.379932,21051020.826656,0.153650,38.424097,13343.045591
20260916,2026-09-16,cac_anchor_usd,75,64.044732,-23124917.655295,-22133157.444131,23315144.009604,0.033400,44.064199,3038.533607
20260916,2026-09-16,cac_anchor_usd,95,112.630952,-24054415.902234,-22729418.760525,24060488.689421,0.004000,52.140220,980.484275
20260916,2026-09-16,anchor_u,5,0.048977,7065084.751784,-16510352.434472,16932185.816577,0.364200,58.485018,44787.483412
20260916,2026-09-16,anchor_u,25,0.248947,7065084.751784,-16510352.434472,16932185.816577,0.364200,58.485018,44787.483412
20260916,2026-09-16,anchor_u,50,0.499269,7065084.751784,-16510352.434472,16932185.816577,0.364200,58.485018,44787.483412
20260916,2026-09-16,anchor_u,75,0.748903,-23002046.346799,-22197479.137217,23381897.251864,0.042850,22.842683,11916.501596
20260916,2026-09-16,anchor_u,95,0.951768,-23002046.346799,-22197479.137217,23381897.251864,0.042850,22.842683,11916.501596
20260916,2026-09-16,writer_gbp_item,5,6.496234,-3212525.653507,-15750561.884045,15793007.168338,0.220600,40.905409,28667.299443
20260916,2026-09-16,writer_gbp_item,25,12.713655,-5285068.631628,-17641583.334214,17676248.979469,0.213450,40.905409,28667.299443
20260916,2026-09-16,writer_gbp_item,50,20.521348,-7887719.811532,-20003000.250742,20060022.748640,0.207850,40.905409,28667.299443
20260916,2026-09-16,writer_gbp_item,75,28.258173,-10466747.971419,-22391825.173576,22439878.431762,0.204700,40.905409,28667.299443
20260916,2026-09-16,writer_gbp_item,95,34.385764,-12509346.394084,-24230055.475693,24334877.580485,0.201900,40.905409,28667.299443
20260916,2026-09-16,minutes_per_item,5,5.353183,-2988234.760480,-15955271.263241,15653788.028546,0.230050,40.905409,28667.299443
20260916,2026-09-16,minutes_per_item,25,10.535825,-5156462.167636,-17830032.225351,17597077.681300,0.219900,40.905409,28667.299443
20260916,2026-09-16,minutes_per_item,50,17.035431,-7875658.382969,-20158172.700468,20058061.862555,0.208850,40.905409,28667.299443
20260916,2026-09-16,minutes_per_item,75,23.524374,-10590393.884882,-22487248.113990,22535819.469571,0.197750,40.905409,28667.299443
20260916,2026-09-16,minutes_per_item,95,28.747993,-12775764.580632,-24309242.506640,24543472.390262,0.191600,40.905409,28667.299443
20260916,2026-09-16,board_reuse,5,0.520319,-12307433.964279,-23792059.270893,24111425.374226,0.196450,40.905409,28667.299443
20260916,2026-09-16,board_reuse,25,0.605005,-10337821.346502,-22085936.831274,22301934.679230,0.201450,40.905409,28667.299443
20260916,2026-09-16,board_reuse,50,0.710322,-7888450.282166,-20029420.236030,20065355.164084,0.208400,40.905409,28667.299443
20260916,2026-09-16,board_reuse,75,0.816568,-5417613.280213,-17962418.373650,17826447.850240,0.217100,40.905409,28667.299443
20260916,2026-09-16,board_reuse,95,0.899755,-3483157.695797,-16345240.344552,16088377.543747,0.225000,40.905409,28667.299443
