seed,run_date,scope,driver1,q1,value1,driver2,q2,value2,terminal_cash_median,terminal_cash_mean,peak_funding_p80,share_reaching_profitability,final_year_effective_cac_mean
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,5,17.304886,-3926925.423464,25087835.086970,18280851.067107,0.705700,38.933172
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,20,20.687352,4347525.381783,48946082.183782,15278885.767342,0.788000,46.338631
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,40,23.649951,12910231.558718,72764949.837924,12755786.432957,0.837900,52.826635
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,60,27.007827,23433448.094372,102671100.617092,10357889.522996,0.878000,60.170857
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,80,31.351533,38407072.141065,145429428.647272,8166212.272206,0.913950,69.630830
20260916,2026-09-16,plan_of_record,cac_anchor_usd,5,9.221902,price_uk_tut_gbp,95,36.590349,58674956.548158,202215699.944220,6579733.732090,0.942300,80.948865
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,5,17.304886,-12667581.578692,-704632.454586,22618794.883635,0.508950,38.676166
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,20,20.687352,-8680722.868242,12542148.471563,20397529.760052,0.621500,45.922094
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,40,23.649951,-4376237.905919,26424416.496983,18489557.857286,0.695350,52.321515
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,60,27.007827,1263581.380818,44570597.111362,16368528.643268,0.757850,59.623215
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,80,31.351533,9589059.754179,71504903.272636,13853371.397622,0.816350,69.098820
20260916,2026-09-16,plan_of_record,cac_anchor_usd,20,13.995872,price_uk_tut_gbp,95,36.590349,21017054.653324,108677006.339634,11118361.438983,0.864300,80.543828
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,5,17.304886,-18491184.162396,-17221179.498811,26961776.398208,0.229250,39.443422
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,20,20.687352,-16704559.206871,-12713373.880153,25477618.572458,0.330000,46.198946
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,40,23.649951,-15061545.015339,-7684265.858936,24220549.659179,0.415150,52.191443
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,60,27.007827,-12928265.755693,-717997.888099,22796655.893848,0.498800,59.066117
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,80,31.351533,-9897235.345197,10357809.486821,20999314.747977,0.589100,68.081602
20260916,2026-09-16,plan_of_record,cac_anchor_usd,40,24.401178,price_uk_tut_gbp,95,36.590349,-5494250.123906,26818539.137966,18969269.110006,0.673750,79.104509
20260916,2026-09-16,plan_of_record,cac_anchor_usd,60,42.593896,price_uk_tut_gbp,5,17.304886,-21353327.679852,-22405295.569901,29226503.841937,0.055150,42.847249
