seed,run_date,run,target,driver,decile1_mean,decile10_mean,spread,abs_spread
20260916,2026-09-16,por,terminal_cash,anchor_u,10928408.061931,-22995470.169732,-33923878.231664,33923878.231664
20260916,2026-09-16,por,terminal_cash,price_uk_tut_gbp,-18267355.505566,6698024.067107,24965379.572672,24965379.572672
20260916,2026-09-16,por,terminal_cash,price_uk_sw_gbp,-8063649.848426,-9112565.287042,-1048915.438616,1048915.438616
20260916,2026-09-16,por,terminal_cash,price_rel_us,-9238741.490724,-4730622.294076,4508119.196647,4508119.196647
20260916,2026-09-16,por,terminal_cash,price_rel_in,-9930362.621759,-7265625.420888,2664737.200871,2664737.200871
20260916,2026-09-16,por,terminal_cash,price_rel_row,-7980866.188159,-10937580.478245,-2956714.290086,2956714.290086
20260916,2026-09-16,por,terminal_cash,price_drift_yr,-11315805.715426,324082.090467,11639887.805894,11639887.805894
20260916,2026-09-16,por,terminal_cash,overage_price_frac,-11468422.921338,-1562882.405220,9905540.516118,9905540.516118
20260916,2026-09-16,por,terminal_cash,sessions_per_hh_month,-11703073.856264,-4362866.329597,7340207.526668,7340207.526668
20260916,2026-09-16,por,terminal_cash,sessions_cv,-6433522.466722,-7123371.879944,-689849.413222,689849.413222
20260916,2026-09-16,por,terminal_cash,usage_season_amp,-8749064.148730,-8372526.843678,376537.305053,376537.305053
20260916,2026-09-16,por,terminal_cash,churn_base,6193781.460869,-17723399.960665,-23917181.421534,23917181.421534
20260916,2026-09-16,por,terminal_cash,churn_m1_extra,-1699244.498220,-14553056.897444,-12853812.399224,12853812.399224
20260916,2026-09-16,por,terminal_cash,summer_lapse_pre,-5689652.062440,-11314904.683478,-5625252.621038,5625252.621038
20260916,2026-09-16,por,terminal_cash,progress_continue,-7001935.908132,-7957663.027455,-955727.119323,955727.119323
20260916,2026-09-16,por,terminal_cash,alevel_continue,-9104599.322404,-5764054.353952,3340544.968452,3340544.968452
20260916,2026-09-16,por,terminal_cash,alevel_exit_rate,-4822497.478414,-9753199.987503,-4930702.509089,4930702.509089
20260916,2026-09-16,por,terminal_cash,exam_carryover,-10766401.097866,-8040968.153588,2725432.944278,2725432.944278
20260916,2026-09-16,por,terminal_cash,turns_per_session,-6233064.832004,-9979407.936264,-3746343.104260,3746343.104260
20260916,2026-09-16,por,terminal_cash,tok_in_per_turn,-7965710.273543,-8350301.125575,-384590.852033,384590.852033
20260916,2026-09-16,por,terminal_cash,tok_out_per_turn,-8040463.832393,-9519232.954952,-1478769.122559,1478769.122559
20260916,2026-09-16,por,terminal_cash,price_in_mtok_usd,-9612182.266591,-8802100.265963,810082.000628,810082.000628
20260916,2026-09-16,por,terminal_cash,price_out_mtok_usd,-8595137.416574,-9773953.365983,-1178815.949409,1178815.949409
20260916,2026-09-16,por,terminal_cash,verify_overhead,-6275684.100024,-7456195.335021,-1180511.234996,1180511.234996
20260916,2026-09-16,por,terminal_cash,gate_fire_rate,-5145019.012063,-8850499.653448,-3705480.641385,3705480.641385
20260916,2026-09-16,por,terminal_cash,infer_decline_yr,-6678519.885578,-7590298.874785,-911778.989207,911778.989207
20260916,2026-09-16,por,terminal_cash,support_min_hh_month,-9676741.636624,-6873204.525404,2803537.111221,2803537.111221
20260916,2026-09-16,por,terminal_cash,support_usd_hr,-8936719.065925,-11854162.315442,-2917443.249517,2917443.249517
20260916,2026-09-16,por,terminal_cash,pay_pct,-7295053.735694,-7091780.947140,203272.788553,203272.788553
20260916,2026-09-16,por,terminal_cash,pay_fixed_usd,-8674138.571786,-9425674.165409,-751535.593623,751535.593623
20260916,2026-09-16,por,terminal_cash,hosting_hh_usd,-6886529.161069,-9563636.138186,-2677106.977118,2677106.977118
20260916,2026-09-16,por,terminal_cash,verif_cost_usd,-6965547.404131,-8894001.813673,-1928454.409541,1928454.409541
20260916,2026-09-16,por,terminal_cash,minutes_per_item,-3843852.154340,-14510345.839778,-10666493.685437,10666493.685437
20260916,2026-09-16,por,terminal_cash,examiner_rate_gbp_hr,-2253722.000245,-6809758.482560,-4556036.482315,4556036.482315
20260916,2026-09-16,por,terminal_cash,writer_gbp_item,-3113489.942821,-14881546.778131,-11768056.835310,11768056.835310
20260916,2026-09-16,por,terminal_cash,items_per_unit,225956.985999,-13101811.317779,-13327768.303778,13327768.303778
20260916,2026-09-16,por,terminal_cash,board_reuse,-9548115.020335,-3269691.631967,6278423.388368,6278423.388368
20260916,2026-09-16,por,terminal_cash,market_reuse,-9664439.224659,-4422510.027118,5241929.197540,5241929.197540
20260916,2026-09-16,por,terminal_cash,reval_frac_yr,-2564059.205144,-9381235.804533,-6817176.599389,6817176.599389
20260916,2026-09-16,por,terminal_cash,eng_usd_yr,-4613151.834778,-9532836.131644,-4919684.296866,4919684.296866
20260916,2026-09-16,por,terminal_cash,uk_gbp_yr,-7685585.342535,-9932024.244173,-2246438.901638,2246438.901638
20260916,2026-09-16,por,terminal_cash,overhead_mult,-8617021.194579,-10305667.459726,-1688646.265147,1688646.265147
20260916,2026-09-16,por,terminal_cash,units_per_content_head,-12443812.491266,-10500586.804756,1943225.686510,1943225.686510
20260916,2026-09-16,por,terminal_cash,eng_ramp_mult,-7240214.557080,-8696192.889145,-1455978.332065,1455978.332065
20260916,2026-09-16,por,terminal_cash,cac_anchor_usd,38139131.700325,-23889537.518370,-62028669.218695,62028669.218695
20260916,2026-09-16,por,terminal_cash,cac_rel_us,-494063.420311,-12143101.941999,-11649038.521688,11649038.521688
20260916,2026-09-16,por,terminal_cash,cac_rel_in,-8797691.965323,-8763630.314379,34061.650944,34061.650944
20260916,2026-09-16,por,terminal_cash,cac_rel_row,-2703572.981588,-8063202.902287,-5359629.920699,5359629.920699
20260916,2026-09-16,por,terminal_cash,sat_kappa,28725357.172960,-19574645.865395,-48300003.038355,48300003.038355
20260916,2026-09-16,por,terminal_cash,cac_ref_spend_usd,-17616459.734633,8150058.183249,25766517.917882,25766517.917882
20260916,2026-09-16,por,terminal_cash,pool_pressure_psi,-7888082.962599,-10225687.383358,-2337604.420759,2337604.420759
20260916,2026-09-16,por,terminal_cash,creator_share,-12395743.735951,-2011625.220313,10384118.515638,10384118.515638
20260916,2026-09-16,por,terminal_cash,creator_cac_rel,-4154934.333837,-10297722.454168,-6142788.120332,6142788.120332
20260916,2026-09-16,por,terminal_cash,pool_uk,-17228749.031382,6333326.147345,23562075.178727,23562075.178727
20260916,2026-09-16,por,terminal_cash,pool_rel_us,-11952526.015744,-8985228.880822,2967297.134923,2967297.134923
20260916,2026-09-16,por,terminal_cash,pool_rel_in,-6472484.056994,-9465039.424901,-2992555.367907,2992555.367907
20260916,2026-09-16,por,terminal_cash,pool_rel_row,-6842960.686001,-4845966.529735,1996994.156266,1996994.156266
20260916,2026-09-16,por,terminal_cash,acq_season_amp,-5096174.955269,-7968271.492973,-2872096.537705,2872096.537705
20260916,2026-09-16,por,terminal_cash,seg_mix_exam,-9950963.523151,-7410277.560764,2540685.962387,2540685.962387
20260916,2026-09-16,por,terminal_cash,seg_mix_alevel,-5902184.552610,-4749045.436642,1153139.115968,1153139.115968
20260916,2026-09-16,por,terminal_cash,acq_pct_of_rev,-15422915.076618,-5577650.488788,9845264.587830,9845264.587830
20260916,2026-09-16,por,terminal_cash,acq_launch_ramp,-8205131.473935,-2561430.542015,5643700.931920,5643700.931920
20260916,2026-09-16,por,terminal_cash,shock_rho,-8173358.192549,-8484958.514779,-311600.322230,311600.322230
20260916,2026-09-16,por,terminal_cash,shock_sd,-12077501.185064,-8639590.423857,3437910.761206,3437910.761206
20260916,2026-09-16,por,terminal_cash,school_seats,-7522021.565973,-7198593.619791,323427.946182,323427.946182
20260916,2026-09-16,por,terminal_cash,school_gbp_seat_yr,-4363039.855173,-7789015.632919,-3425975.777745,3425975.777745
20260916,2026-09-16,por,terminal_cash,school_win_rate,-8378434.800345,-10317629.715928,-1939194.915583,1939194.915583
20260916,2026-09-16,por,terminal_cash,school_rep_pipeline_yr,-7970460.433531,-5852917.964172,2117542.469359,2117542.469359
20260916,2026-09-16,por,terminal_cash,school_renewal,-6651191.285008,-3690709.918154,2960481.366854,2960481.366854
20260916,2026-09-16,por,terminal_cash,school_cycle_m,-8113971.902944,-6046396.066134,2067575.836809,2067575.836809
20260916,2026-09-16,por,terminal_cash,us_sales_tax_eff,-7232394.112493,-9826016.835030,-2593622.722537,2593622.722537
20260916,2026-09-16,por,terminal_cash,step_entity_setup_usd,-10805893.421785,-10556033.718240,249859.703545,249859.703545
20260916,2026-09-16,por,terminal_cash,step_entity_annual_usd,-8338801.543969,-6901414.152046,1437387.391923,1437387.391923
20260916,2026-09-16,por,terminal_cash,step_cert_setup_usd,-8209733.326091,-9801512.754704,-1591779.428613,1591779.428613
20260916,2026-09-16,por,terminal_cash,step_cert_annual_usd,-8535262.378490,-4994557.749773,3540704.628717,3540704.628717
20260916,2026-09-16,por,terminal_cash,step_uk_rep_usd_yr,-7055828.732841,-7728961.935880,-673133.203039,673133.203039
20260916,2026-09-16,por,terminal_cash,step_counsel_initial_usd,-9042278.494618,-8745405.338722,296873.155896,296873.155896
20260916,2026-09-16,por,terminal_cash,step_counsel_market_usd,-6821111.810073,-8682922.620105,-1861810.810031,1861810.810031
20260916,2026-09-16,por,terminal_cash,step_office_usd_head_yr,-11331391.796012,-7952546.958262,3378844.837750,3378844.837750
20260916,2026-09-16,por,terminal_cash,step_dpia_audit_usd_yr,-9661654.513047,-3750562.954501,5911091.558546,5911091.558546
20260916,2026-09-16,por,terminal_cash_rank,anchor_u,0.594127,0.405479,-0.188648,0.188648
20260916,2026-09-16,por,terminal_cash_rank,price_uk_tut_gbp,0.462925,0.521886,0.058961,0.058961
20260916,2026-09-16,por,terminal_cash_rank,price_uk_sw_gbp,0.488987,0.512195,0.023208,0.023208
20260916,2026-09-16,por,terminal_cash_rank,price_rel_us,0.494034,0.503992,0.009958,0.009958
20260916,2026-09-16,por,terminal_cash_rank,price_rel_in,0.496988,0.499625,0.002637,0.002637
20260916,2026-09-16,por,terminal_cash_rank,price_rel_row,0.502290,0.496441,-0.005848,0.005848
20260916,2026-09-16,por,terminal_cash_rank,price_drift_yr,0.484292,0.522954,0.038662,0.038662
20260916,2026-09-16,por,terminal_cash_rank,overage_price_frac,0.494029,0.504837,0.010808,0.010808
20260916,2026-09-16,por,terminal_cash_rank,sessions_per_hh_month,0.488500,0.514896,0.026396,0.026396
20260916,2026-09-16,por,terminal_cash_rank,sessions_cv,0.499105,0.500302,0.001197,0.001197
20260916,2026-09-16,por,terminal_cash_rank,usage_season_amp,0.500610,0.496486,-0.004124,0.004124
20260916,2026-09-16,por,terminal_cash_rank,churn_base,0.557381,0.452429,-0.104952,0.104952
20260916,2026-09-16,por,terminal_cash_rank,churn_m1_extra,0.523474,0.481129,-0.042346,0.042346
20260916,2026-09-16,por,terminal_cash_rank,summer_lapse_pre,0.511877,0.496696,-0.015180,0.015180
20260916,2026-09-16,por,terminal_cash_rank,progress_continue,0.486777,0.506939,0.020163,0.020163
20260916,2026-09-16,por,terminal_cash_rank,alevel_continue,0.489121,0.525724,0.036604,0.036604
20260916,2026-09-16,por,terminal_cash_rank,alevel_exit_rate,0.500047,0.495447,-0.004601,0.004601
20260916,2026-09-16,por,terminal_cash_rank,exam_carryover,0.496996,0.501544,0.004548,0.004548
20260916,2026-09-16,por,terminal_cash_rank,turns_per_session,0.504613,0.499040,-0.005573,0.005573
20260916,2026-09-16,por,terminal_cash_rank,tok_in_per_turn,0.503864,0.491690,-0.012174,0.012174
20260916,2026-09-16,por,terminal_cash_rank,tok_out_per_turn,0.500442,0.502201,0.001759,0.001759
20260916,2026-09-16,por,terminal_cash_rank,price_in_mtok_usd,0.511425,0.502973,-0.008452,0.008452
20260916,2026-09-16,por,terminal_cash_rank,price_out_mtok_usd,0.511863,0.496627,-0.015236,0.015236
20260916,2026-09-16,por,terminal_cash_rank,verify_overhead,0.508245,0.495083,-0.013163,0.013163
20260916,2026-09-16,por,terminal_cash_rank,gate_fire_rate,0.506187,0.505389,-0.000798,0.000798
20260916,2026-09-16,por,terminal_cash_rank,infer_decline_yr,0.492080,0.494754,0.002674,0.002674
20260916,2026-09-16,por,terminal_cash_rank,support_min_hh_month,0.497787,0.498810,0.001023,0.001023
20260916,2026-09-16,por,terminal_cash_rank,support_usd_hr,0.489141,0.501675,0.012534,0.012534
20260916,2026-09-16,por,terminal_cash_rank,pay_pct,0.501388,0.491853,-0.009535,0.009535
20260916,2026-09-16,por,terminal_cash_rank,pay_fixed_usd,0.497725,0.488396,-0.009329,0.009329
20260916,2026-09-16,por,terminal_cash_rank,hosting_hh_usd,0.514443,0.495703,-0.018740,0.018740
20260916,2026-09-16,por,terminal_cash_rank,verif_cost_usd,0.507510,0.491085,-0.016425,0.016425
20260916,2026-09-16,por,terminal_cash_rank,minutes_per_item,0.622853,0.391963,-0.230890,0.230890
20260916,2026-09-16,por,terminal_cash_rank,examiner_rate_gbp_hr,0.597654,0.434903,-0.162751,0.162751
20260916,2026-09-16,por,terminal_cash_rank,writer_gbp_item,0.615422,0.376577,-0.238846,0.238846
20260916,2026-09-16,por,terminal_cash_rank,items_per_unit,0.684859,0.342845,-0.342013,0.342013
20260916,2026-09-16,por,terminal_cash_rank,board_reuse,0.399961,0.609920,0.209959,0.209959
20260916,2026-09-16,por,terminal_cash_rank,market_reuse,0.440337,0.556940,0.116603,0.116603
20260916,2026-09-16,por,terminal_cash_rank,reval_frac_yr,0.550493,0.454004,-0.096489,0.096489
20260916,2026-09-16,por,terminal_cash_rank,eng_usd_yr,0.572212,0.418122,-0.154090,0.154090
20260916,2026-09-16,por,terminal_cash_rank,uk_gbp_yr,0.522803,0.467467,-0.055336,0.055336
20260916,2026-09-16,por,terminal_cash_rank,overhead_mult,0.529405,0.471498,-0.057908,0.057908
20260916,2026-09-16,por,terminal_cash_rank,units_per_content_head,0.424346,0.530416,0.106070,0.106070
20260916,2026-09-16,por,terminal_cash_rank,eng_ramp_mult,0.532329,0.478497,-0.053832,0.053832
20260916,2026-09-16,por,terminal_cash_rank,cac_anchor_usd,0.676715,0.389128,-0.287588,0.287588
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_us,0.526907,0.493356,-0.033551,0.033551
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_in,0.501141,0.496395,-0.004745,0.004745
20260916,2026-09-16,por,terminal_cash_rank,cac_rel_row,0.517788,0.497673,-0.020114,0.020114
20260916,2026-09-16,por,terminal_cash_rank,sat_kappa,0.540398,0.466442,-0.073955,0.073955
20260916,2026-09-16,por,terminal_cash_rank,cac_ref_spend_usd,0.426849,0.583544,0.156695,0.156695
20260916,2026-09-16,por,terminal_cash_rank,pool_pressure_psi,0.508439,0.498757,-0.009682,0.009682
20260916,2026-09-16,por,terminal_cash_rank,creator_share,0.484177,0.525204,0.041027,0.041027
20260916,2026-09-16,por,terminal_cash_rank,creator_cac_rel,0.514394,0.482519,-0.031875,0.031875
20260916,2026-09-16,por,terminal_cash_rank,pool_uk,0.482159,0.505981,0.023822,0.023822
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_us,0.491982,0.501931,0.009949,0.009949
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_in,0.499439,0.506399,0.006960,0.006960
