seed,run_date,scenario,note,terminal_cash_mean,terminal_cash_p50,peak_funding_mean,peak_funding_p50,peak_funding_p80,peak_funding_p90,share_reaching_profitability,median_month_rev_passes_cost,terminal_active_hh_mean,final_year_effective_cac_mean,mean_share_over_allowance,total_tax_collected_mean,min_of_mean_trough,mean_of_min_trough,understatement_ratio,band_central_placement_terminal,total_content_cost_mean,total_cost_mean,total_net_revenue_mean,pathwise_spearman_vs_base,pathwise_mean_abs_delta,abs_mean_delta,paired_mc_se,pairing_holds,pathwise_p50_delta,pathwise_p50_delta_se
20260916,2026-09-16,por,"the plan of record, as published",-7278633.155541,-19695381.813330,20015439.700002,19732059.946307,28039073.806267,33047117.886212,0.213950,23.000000,31101.796306,42.774483,0.233804,3991372.460404,-8946317.522650,-20015439.700002,0.446971,0.499600,13965825.810650,40290730.196091,33012097.040550,1.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000
20260916,2026-09-16,por_feedback_off,the feedback machinery present but switched off; must equal por exactly,-7278633.155541,-19695381.813330,20015439.700002,19732059.946307,28039073.806267,33047117.886212,0.213950,23.000000,31101.796306,42.774483,0.233804,3991372.460404,-8946317.522650,-20015439.700002,0.446971,0.499600,13965825.810650,40290730.196091,33012097.040550,1.000000,0.000000,0.000000,0.000000,yes,0.000000,0.000000
20260916,2026-09-16,por_feedback_on,"price costs retention, expansion pace costs quality, automation costs engineering",-13192644.677899,-20769160.604659,21207594.031728,20817832.497887,29039128.534275,34022897.502493,0.170900,24.000000,23401.597180,38.049675,0.233648,2905436.656120,-13517426.957798,-21207594.031728,0.637386,0.498600,13965825.810650,36908113.540225,23715468.862326,0.977225,6007087.522491,5914011.522358,245898.924841,yes,-769093.541681,8490.017728
20260916,2026-09-16,por_dependence,"Iman-Conover dependence between drivers, every marginal preserved exactly",-3496539.520316,-19673435.169846,20149445.655981,19708710.351792,28170506.666733,33497360.759563,0.207450,24.000000,37828.550720,42.377962,0.233459,4688124.361182,-8053841.538787,-20149445.655981,0.399705,0.498650,13899301.593324,43006743.612045,39510204.091729,0.300217,35990542.926046,3782093.635224,1034300.357866,no,-53626.624515,106343.235269
20260916,2026-09-16,por_dependence_feedback,dependence and feedback together,-10720239.546482,-20775638.763873,21346220.684054,20791669.270674,29263701.149045,34520435.935736,0.165400,24.000000,28786.687743,37.702661,0.233292,3375310.181112,-11341619.237985,-21346220.684054,0.531317,0.497600,13899301.593324,38865718.120391,28145478.573909,0.298622,30640133.121201,3441606.390941,851438.695964,no,-1215713.699692,105841.247526
20260916,2026-09-16,por_fx_sampled,"the fixed rate replaced by a sampled one, to price what fixing it hides",-7229733.690234,-19605813.942606,20025998.545413,19649634.078001,28089318.157805,33253250.324990,0.213750,23.000000,31048.639523,42.710934,0.233804,4009365.153893,-8910309.232949,-20025998.545413,0.444937,0.498700,13975645.746098,40309442.375352,33079708.685117,0.990522,2579474.742155,48899.465307,111201.012429,yes,12493.486509,6874.358354
20260916,2026-09-16,por_india_d2c,India opened direct to parents rather than through institutions,-10273685.781921,-22605054.844008,23265696.216313,22664015.019082,32368563.413495,38212826.954972,0.207100,24.000000,48122.647914,32.448678,0.231693,4505445.482901,-12010148.595607,-23265696.216313,0.516217,0.498850,16461584.031681,45327824.127373,35054138.345452,0.995733,4701181.123359,2995052.626380,97029.335659,yes,-3172874.345729,16208.048114
20260916,2026-09-16,por_appstore,a share of consumer billing routed through an app store at 15 per cent,-9694195.281992,-20029497.041214,20452981.434018,20092461.521412,28306335.346837,33313626.874949,0.197100,24.000000,31101.796306,42.774483,0.233804,3991372.460404,-10452105.475868,-20452981.434018,0.511031,0.498100,13965825.810650,42706292.322542,33012097.040550,0.997212,2415562.126452,2415562.126452,86800.155782,yes,-216331.567759,4959.223357
20260916,2026-09-16,por_allowance_enforced,the session allowance enforced rather than sold and overshot,-12551207.690083,-20243149.771030,20719167.374855,20285048.514218,28452210.607302,33501678.930924,0.177000,24.000000,27346.549173,39.035591,0.233824,2969321.302061,-12954807.843827,-20719167.374855,0.625257,0.498700,13965825.810650,36757232.917157,24206025.227073,0.988433,5274625.817699,5272574.534542,243804.372628,yes,-215513.265448,6118.530538
20260916,2026-09-16,ukonly,"UK consumer only: no second market, no institution channel, and charged accordingly",-8408950.099911,-12280836.055927,12557378.276738,12290612.230746,17370253.381832,20498939.827838,0.202350,19.000000,10567.902262,38.470619,0.232568,2744915.563167,-8420450.052680,-12557378.276738,0.670558,0.500300,8596098.326204,22133527.915748,13724577.815837,0.972930,15829040.465869,1130316.944370,462520.107232,yes,7463226.784491,34165.220610
