seed,run_date,scenario,band,terminal_band_line,placement_terminal,placement_mid,placement_mean_from_m6
20260916,2026-09-16,por,low,-28350870.813836,0.192750,0.201600,0.206179
20260916,2026-09-16,por,central,-19770325.876139,0.498800,0.511000,0.518785
20260916,2026-09-16,por,high,-9504480.127637,0.825750,0.800650,0.796333
20260916,2026-09-16,por_feedback_off,low,-28350870.813836,0.192750,0.201600,0.206179
20260916,2026-09-16,por_feedback_off,central,-19770325.876139,0.498800,0.511000,0.518785
20260916,2026-09-16,por_feedback_off,high,-9504480.127637,0.825750,0.800650,0.796333
20260916,2026-09-16,por_feedback_on,low,-29350836.116472,0.191800,0.200150,0.203299
20260916,2026-09-16,por_feedback_on,central,-20829199.730604,0.498300,0.507850,0.514083
20260916,2026-09-16,por_feedback_on,high,-12433768.477130,0.819700,0.804400,0.804354
20260916,2026-09-16,por_dependence,low,-28533769.069283,0.192300,0.200850,0.206084
20260916,2026-09-16,por_dependence,central,-19775201.204079,0.498900,0.507800,0.516753
20260916,2026-09-16,por_dependence,high,-9724768.050353,0.827150,0.798700,0.799388
20260916,2026-09-16,por_dependence_feedback,low,-29534664.697473,0.192450,0.200050,0.203762
20260916,2026-09-16,por_dependence_feedback,central,-20845997.720263,0.497800,0.507700,0.513615
20260916,2026-09-16,por_dependence_feedback,high,-12491413.647261,0.818950,0.802650,0.806367
20260916,2026-09-16,por_fx_sampled,low,-28377159.990210,0.193250,0.200550,0.205187
20260916,2026-09-16,por_fx_sampled,central,-19699596.625252,0.499150,0.510000,0.518131
20260916,2026-09-16,por_fx_sampled,high,-9425047.690852,0.827200,0.802300,0.797613
20260916,2026-09-16,por_india_d2c,low,-32715422.320180,0.193150,0.201750,0.205477
20260916,2026-09-16,por_india_d2c,central,-22696738.580790,0.497750,0.512000,0.517994
20260916,2026-09-16,por_india_d2c,high,-11844197.769546,0.825800,0.795600,0.797775
20260916,2026-09-16,por_appstore,low,-28636592.023165,0.193100,0.201800,0.205428
20260916,2026-09-16,por_appstore,central,-20119437.719482,0.498450,0.512300,0.518216
20260916,2026-09-16,por_appstore,high,-10832051.973072,0.826000,0.799200,0.799528
20260916,2026-09-16,por_allowance_enforced,low,-28785484.840457,0.191750,0.200400,0.204034
20260916,2026-09-16,por_allowance_enforced,central,-20315793.049846,0.498700,0.509500,0.515456
20260916,2026-09-16,por_allowance_enforced,high,-11884772.789770,0.821250,0.801400,0.801574
20260916,2026-09-16,ukonly,low,-17567173.721439,0.192350,0.197700,0.203253
20260916,2026-09-16,ukonly,central,-12306016.335399,0.499300,0.504200,0.512306
20260916,2026-09-16,ukonly,high,-6871295.347482,0.822400,0.813050,0.807283
20260916,2026-09-16,por_no_schools,low,-26038571.481932,0.192300,0.201200,0.205515
20260916,2026-09-16,por_no_schools,central,-17522557.490746,0.498450,0.511400,0.519524
20260916,2026-09-16,por_no_schools,high,-7339109.018536,0.826100,0.799050,0.795317
20260916,2026-09-16,por_content_frozen,low,-17045633.553743,0.192300,0.203950,0.212844
20260916,2026-09-16,por_content_frozen,central,-12432130.174045,0.499150,0.510600,0.521362
20260916,2026-09-16,por_content_frozen,high,-3260502.656084,0.822150,0.822550,0.783693
20260916,2026-09-16,gtm_minimum,low,-6696352.179399,0.195050,0.204800,0.225663
20260916,2026-09-16,gtm_minimum,central,-5040440.360666,0.500950,0.495150,0.498775
20260916,2026-09-16,gtm_minimum,high,-801042.555729,0.818750,0.829400,0.780042
20260916,2026-09-16,por_creator_fees,low,-29695321.220281,0.193050,0.202100,0.206306
20260916,2026-09-16,por_creator_fees,central,-21109960.705007,0.499400,0.510300,0.518460
20260916,2026-09-16,por_creator_fees,high,-11188412.666355,0.824900,0.800450,0.797432
20260916,2026-09-16,por_onshore_half,low,-31875136.937738,0.192900,0.200800,0.206004
20260916,2026-09-16,por_onshore_half,central,-23171388.784376,0.498700,0.512900,0.519755
20260916,2026-09-16,por_onshore_half,high,-13195135.754570,0.825050,0.801000,0.798779
20260916,2026-09-16,por_onshore_all,low,-35602844.174413,0.192150,0.200400,0.205947
20260916,2026-09-16,por_onshore_all,central,-26591496.076994,0.497900,0.507450,0.515087
20260916,2026-09-16,por_onshore_all,high,-16556077.192330,0.822550,0.802500,0.801892
20260916,2026-09-16,por_residual,low,-20291213.021309,0.194850,0.235450,0.240277
20260916,2026-09-16,por_residual,central,-13763205.940431,0.502650,0.530250,0.538281
20260916,2026-09-16,por_residual,high,5468169.413255,0.821500,0.712350,0.706478
20260916,2026-09-16,por_reacq_low,low,-28405508.892811,0.192100,0.202000,0.205892
20260916,2026-09-16,por_reacq_low,central,-19844054.964771,0.498600,0.510450,0.518063
20260916,2026-09-16,por_reacq_low,high,-10146649.671072,0.825500,0.800350,0.797148
20260916,2026-09-16,por_reacq_high,low,-28300532.486235,0.191750,0.201650,0.206305
20260916,2026-09-16,por_reacq_high,central,-19696220.980041,0.499150,0.511400,0.519394
20260916,2026-09-16,por_reacq_high,high,-8833910.796472,0.827150,0.801400,0.796119
20260916,2026-09-16,por_anchor_tutoring,low,-25874783.844148,0.193000,0.205200,0.213660
20260916,2026-09-16,por_anchor_tutoring,central,-16468052.617416,0.501700,0.520600,0.534959
20260916,2026-09-16,por_anchor_tutoring,high,6220697.258020,0.820050,0.818300,0.772888
20260916,2026-09-16,por_anchor_software,low,-30293079.893497,0.193000,0.196700,0.198570
20260916,2026-09-16,por_anchor_software,central,-22222864.607404,0.498150,0.501500,0.502026
20260916,2026-09-16,por_anchor_software,high,-16218093.224868,0.804700,0.803600,0.802581
20260916,2026-09-16,por_launch_plus3,low,-27867469.610360,0.192450,0.203150,0.207902
20260916,2026-09-16,por_launch_plus3,central,-19457156.695171,0.498100,0.514600,0.522968
20260916,2026-09-16,por_launch_plus3,high,-9804843.263205,0.825900,0.795950,0.795828
20260916,2026-09-16,por_launch_plus6,low,-25346649.718540,0.192100,0.207150,0.212271
20260916,2026-09-16,por_launch_plus6,central,-17804025.058374,0.498750,0.520600,0.526335
20260916,2026-09-16,por_launch_plus6,high,-8968193.317736,0.825650,0.784650,0.791137
